Date,Temperatura (Celsius),HumedadRelativa (%),VelocidadViento (m/s),Lluvia (mm),Irradiacion (W/m2),EvapoTranspiracion (mm)
15/4/2015,"29,03","64,83","6,57","0,00","187,00","4,55"
16/4/2015,"30,08","58,50","7,57","0,00","289,00","6,30"
17/4/2015,"29,09","61,54","6,09","0,00","283,83","6,17"
18/4/2015,"29,63","61,25","4,95","0,00","292,38","6,30"
19/4/2015,"29,17","64,71","4,95","0,00","247,13","5,44"
20/4/2015,"29,10","66,33","2,47","0,00","260,08","5,23"
21/4/2015,"29,25","63,38","4,28","0,00","256,42","5,45"
22/4/2015,"29,88","62,88","7,98","0,00","284,08","6,27"
23/4/2015,"29,61","60,96","9,66","0,00","240,79","5,92"
24/4/2015,"29,41","56,75","9,06","0,00","294,71","6,87"
25/4/2015,"28,03","60,50","2,73","0,00","209,92","4,47"
26/4/2015,"28,42","63,58","2,27","0,00","259,46","5,25"
27/4/2015,"29,55","68,25","1,73","0,00","262,21","5,12"
28/4/2015,"30,62","73,21","1,87","0,00","243,63","4,62"
29/4/2015,"29,19","79,67","1,80","1,52","175,42","3,31"
30/4/2015,"27,54","81,67","0,93","0,00","128,54","2,28"
1/5/2015,"28,90","72,13","3,34","0,00","231,88","4,69"
2/5/2015,"29,57","62,33","5,16","0,00","281,33","6,13"
3/5/2015,"29,23","59,75","4,88","0,00","280,54","6,08"
4/5/2015,"29,28","59,33","6,09","0,00","251,58","5,69"
5/5/2015,"29,47","56,21","5,01","0,00","268,71","5,93"
6/5/2015,"28,93","67,46","2,47","0,76","230,08","4,64"
7/5/2015,"30,04","65,25","4,75","0,25","275,67","5,74"
8/5/2015,"31,08","58,13","8,37","0,00","290,42","6,72"
9/5/2015,"29,94","61,13","7,45","0,00","273,58","6,29"
10/5/2015,"30,71","59,33","9,06","0,00","287,29","6,81"
11/5/2015,"30,55","59,54","9,73","0,00","286,83","6,74"
12/5/2015,"30,43","61,25","9,73","0,00","277,79","6,61"
13/5/2015,"30,03","61,92","12,43","0,00","256,13","6,45"
14/5/2015,"30,24","59,25","12,97","0,00","279,67","7,14"
15/5/2015,"29,19","62,58","10,21","0,00","188,38","5,00"
16/5/2015,"27,59","68,92","4,96","0,51","227,50","4,87"
17/5/2015,"27,90","71,21","4,22","0,00","255,67","5,20"
18/5/2015,"29,64","61,50","8,18","0,00","255,42","5,83"
19/5/2015,"28,88","64,33","7,58","0,00","199,83","4,84"
20/5/2015,"28,55","65,79","5,84","0,00","201,46","4,73"
21/5/2015,"29,57","63,50","5,08","0,00","257,71","5,54"
22/5/2015,"29,52","64,38","7,37","0,00","282,83","6,13"
23/5/2015,"30,11","61,33","9,27","0,00","285,04","6,53"
24/5/2015,"28,88","65,63","6,70","0,76","162,88","4,01"
25/5/2015,"29,64","63,08","5,96","0,00","263,33","5,81"
26/5/2015,"28,87","66,75","8,31","1,52","243,63","5,49"
27/5/2015,"28,90","62,88","7,52","0,00","251,67","5,77"
28/5/2015,"29,19","54,08","6,76","0,00","268,25","6,31"
29/5/2015,"28,49","55,71","3,67","0,00","268,33","5,74"
30/5/2015,"28,38","63,50","2,60","0,00","261,96","5,27"
31/5/2015,"29,38","65,67","3,53","0,00","244,13","5,07"
1/6/2015,"30,21","65,58","3,60","0,00","266,79","5,42"
2/6/2015,"29,43","74,50","1,80","0,00","209,25","4,09"
3/6/2015,"26,78","86,17","1,47","14,47","135,67","2,45"
4/6/2015,"26,72","88,54","1,27","24,13","153,96","2,70"
5/6/2015,"26,48","89,79","0,93","5,33","158,67","2,74"
6/6/2015,"26,04","89,54","1,33","15,48","150,96","2,62"
7/6/2015,"27,16","87,04","1,20","1,00","197,29","3,33"
8/6/2015,"26,23","84,75","1,60","1,51","110,96","2,02"
9/6/2015,"26,42","85,96","1,53","2,54","192,13","3,48"
10/6/2015,"25,70","89,75","1,27","2,03","139,79","2,43"
11/6/2015,"25,99","88,75","1,80","57,40","161,75","2,86"
12/6/2015,"27,52","83,50","1,47","0,00","206,04","3,67"
13/6/2015,"27,60","83,46","1,00","0,75","205,88","3,59"
14/6/2015,"28,79","74,04","5,23","0,25","274,00","9,01"
15/6/2015,"28,72","71,96","5,62","0,00","277,08","14,43"
16/6/2015,"29,75","68,00","8,53","0,00","274,21","5,43"
17/6/2015,"29,58","68,33","8,18","0,00","251,46","5,80"
18/6/2015,"28,83","73,29","5,15","0,00","175,83","5,48"
19/6/2015,"29,48","69,83","9,88","0,00","213,63","3,75"
20/6/2015,"29,78","68,50","9,66","0,00","258,17","4,96"
21/6/2015,"28,22","71,96","8,38","0,76","137,17","5,75"
22/6/2015,"29,47","63,67","11,56","0,00","287,42","3,37"
23/6/2015,"29,19","67,92","11,36","0,00","247,54","6,70"
24/6/2015,"30,08","67,21","10,62","0,00","283,58","5,75"
25/6/2015,"30,46","65,88","11,10","0,00","286,67","6,21"
26/6/2015,"30,19","66,96","11,43","0,00","286,21","6,53"
27/6/2015,"29,66","63,25","12,03","0,00","260,17","6,56"
28/6/2015,"29,60","69,38","7,44","0,51","232,67","6,32"
29/6/2015,"28,64","73,83","5,15","0,00","172,54","5,18"
30/6/2015,"28,05","71,71","9,13","0,25","237,42","3,76"
1/7/2015,"29,65","59,83","11,16","0,00","287,63","5,28"
2/7/2015,"30,00","64,17","10,27","0,00","290,75","6,76"
3/7/2015,"29,56","66,17","11,43","0,00","284,83","6,56"
4/7/2015,"29,67","63,21","11,90","0,00","278,63","6,42"
5/7/2015,"30,12","65,50","9,94","0,00","264,79","6,75"
6/7/2015,"29,56","65,79","9,95","0,00","251,42","5,93"
7/7/2015,"26,55","79,29","5,83","5,58","134,04","5,86"
8/7/2015,"27,33","75,50","4,95","1,52","186,54","2,98"
9/7/2015,"26,62","78,88","2,00","3,05","159,92","3,93"
10/7/2015,"27,42","78,04","3,27","6,86","188,88","3,09"
11/7/2015,"26,68","80,33","4,63","0,25","158,79","3,79"
12/7/2015,"28,21","66,75","7,35","0,00","138,21","3,28"
13/7/2015,"27,91","69,13","4,07","0,00","175,71","3,60"
14/7/2015,"27,44","74,04","1,60","0,00","149,00","3,79"
15/7/2015,"28,85","67,46","6,30","0,00","288,33","2,85"
16/7/2015,"28,98","68,67","4,48","0,00","260,71","6,18"
17/7/2015,"28,81","68,63","4,89","0,00","233,38","5,32"
18/7/2015,"26,79","77,88","1,00","0,00","164,25","4,78"
19/7/2015,"27,39","75,67","3,75","0,25","222,54","3,07"
20/7/2015,"28,30","65,42","6,50","0,00","247,92","4,42"
21/7/2015,"28,12","65,58","3,80","0,00","255,21","5,39"
22/7/2015,"28,07","70,50","3,88","0,00","214,21","5,20"
23/7/2015,"26,60","78,08","2,33","0,00","111,13","4,56"
24/7/2015,"28,53","70,67","6,71","0,00","217,38","2,25"
25/7/2015,"30,04","62,13","11,50","0,00","281,92","4,93"
26/7/2015,"30,03","59,29","10,48","0,00","287,13","6,74"
27/7/2015,"29,39","62,92","8,72","0,00","249,92","6,81"
28/7/2015,"29,55","66,33","8,86","0,00","241,83","5,82"
29/7/2015,"28,44","68,38","6,62","0,00","160,17","5,54"
30/7/2015,"27,85","71,17","5,30","0,00","240,21","3,84"
31/7/2015,"29,08","60,13","8,05","0,00","263,92","5,02"
1/8/2015,"29,43","63,79","4,87","0,00","219,96","6,01"
2/8/2015,"29,95","66,13","7,31","0,00","297,13","4,90"
3/8/2015,"29,67","64,29","10,74","0,00","278,33","6,12"
4/8/2015,"29,98","60,58","11,83","0,00","289,83","6,25"
5/8/2015,"30,40","63,83","11,70","0,00","288,21","6,97"
6/8/2015,"29,75","66,54","11,15","0,00","253,75","6,86"
7/8/2015,"30,22","64,04","8,04","0,00","288,92","6,04"
8/8/2015,"29,77","66,88","3,34","0,00","230,21","6,34"
9/8/2015,"28,83","73,04","3,48","0,00","258,08","4,81"
10/8/2015,"27,45","78,63","2,47","1,27","160,29","5,09"
11/8/2015,"27,70","73,33","4,27","0,00","221,33","3,11"
12/8/2015,"29,23","63,83","7,77","0,00","199,63","4,49"
13/8/2015,"30,17","58,96","6,77","0,00","280,42","4,85"
14/8/2015,"29,23","64,17","6,62","0,00","245,88","6,33"
15/8/2015,"28,90","66,33","4,07","0,00","172,50","5,33"
16/8/2015,"27,53","74,79","3,28","0,00","159,67","3,95"
17/8/2015,"29,57","65,71","6,10","0,00","224,08","3,35"
18/8/2015,"29,47","66,65","5,42","1,52","193,42","5,03"
19/8/2015,"29,61","65,50","6,37","0,00","273,63","4,25"
20/8/2015,"29,87","61,96","8,38","0,00","263,71","5,61"
21/8/2015,"29,63","64,42","7,04","0,00","218,00","5,86"
22/8/2015,"28,86","70,96","4,62","0,00","226,38","5,02"
23/8/2015,"29,14","72,17","5,49","0,00","255,96","4,83"
24/8/2015,"29,96","60,50","9,33","0,00","270,42","5,21"
25/8/2015,"28,41","65,42","3,75","0,00","255,96","6,34"
26/8/2015,"29,35","66,46","3,80","0,00","272,29","5,32"
27/8/2015,"28,81","66,29","3,94","0,00","217,79","5,58"
28/8/2015,"29,98","63,13","4,08","0,00","235,96","4,84"
29/8/2015,"30,08","63,71","6,31","0,00","290,17","5,08"
30/8/2015,"28,36","76,88","2,00","6,85","202,29","6,41"
31/8/2015,"25,93","90,00","0,80","24,13","133,50","3,97"
1/9/2015,"27,17","76,08","2,68","1,27","210,83","2,47"
2/9/2015,"27,71","70,63","1,93","0,00","191,96","4,07"
3/9/2015,"27,85","69,38","2,60","0,00","217,92","3,89"
4/9/2015,"27,55","74,13","1,47","0,00","187,67","4,30"
5/9/2015,"28,79","72,17","3,47","0,00","295,17","3,73"
6/9/2015,"28,26","66,08","4,75","0,00","201,25","5,66"
7/9/2015,"29,89","62,54","6,22","0,00","253,79","4,56"
8/9/2015,"29,12","66,83","7,03","0,00","213,00","5,70"
9/9/2015,"29,25","68,83","5,76","0,00","258,92","4,80"
10/9/2015,"27,09","77,50","2,27","0,25","108,67","5,66"
11/9/2015,"27,82","72,50","2,87","0,00","171,29","2,22"
12/9/2015,"26,68","82,79","1,13","25,64","144,92","3,63"
13/9/2015,"27,49","82,42","1,20","0,50","218,33","2,94"
14/9/2015,"28,16","76,46","3,40","0,00","243,08","3,88"
15/9/2015,"29,26","71,46","3,20","0,00","244,50","4,49"
16/9/2015,"29,78","69,25","4,62","0,00","277,75","4,75"
17/9/2015,"28,01","75,46","2,47","0,00","268,50","5,69"
18/9/2015,"25,90","88,75","0,80","22,59","183,29","5,11"
19/9/2015,"26,38","88,71","0,60","12,45","188,25","3,10"
20/9/2015,"28,81","78,33","1,93","0,00","270,13","3,20"
21/9/2015,"27,80","80,83","1,80","22,09","236,29","4,82"
22/9/2015,"26,45","86,63","1,13","0,00","189,92","4,21"
23/9/2015,"25,20","92,50","0,60","25,14","116,79","3,22"
24/9/2015,"25,73","89,96","0,60","2,28","198,67","1,95"
25/9/2015,"26,24","89,75","0,47","3,56","202,71","3,24"
26/9/2015,"27,26","86,67","0,53","0,25","179,67","3,33"
27/9/2015,"26,50","90,42","0,87","51,82","178,42","3,08"
28/9/2015,"27,08","87,38","0,20","0,25","195,25","3,00"
29/9/2015,"28,55","82,33","0,87","0,00","258,63","3,29"
30/9/2015,"26,56","86,83","0,73","3,56","195,58","4,43"
1/10/2015,"26,75","85,71","0,93","10,41","255,58","3,21"
2/10/2015,"25,96","87,29","0,60","0,25","202,25","4,25"
3/10/2015,"25,95","88,21","1,00","16,51","209,04","3,27"
4/10/2015,"27,18","85,21","0,60","0,25","244,63","3,31"
5/10/2015,"28,07","76,21","2,27","0,00","255,96","4,03"
6/10/2015,"28,65","72,83","4,87","0,00","190,38","4,74"
7/10/2015,"28,63","72,50","3,94","0,00","216,67","4,01"
8/10/2015,"28,17","75,75","3,00","0,50","266,83","4,44"
9/10/2015,"27,25","79,54","3,00","0,00","174,33","4,94"
10/10/2015,"27,67","77,33","2,73","0,00","233,29","3,33"
11/10/2015,"27,16","81,33","2,00","5,07","204,42","4,27"
12/10/2015,"25,19","92,38","0,27","2,03","136,21","3,68"
13/10/2015,"26,52","86,50","0,67","0,00","229,67","2,24"
14/10/2015,"26,68","87,92","0,80","25,15","207,33","3,78"
15/10/2015,"26,83","87,17","0,67","27,95","220,58","3,38"
16/10/2015,"26,39","88,58","0,93","83,55","250,46","3,63"
17/10/2015,"26,23","89,08","0,47","8,12","198,75","4,08"
18/10/2015,"26,40","89,71","0,53","0,50","215,79","3,28"
19/10/2015,"26,62","90,46","0,67","31,50","177,63","3,41"
20/10/2015,"26,32","92,25","0,53","24,14","125,33","2,90"
21/10/2015,"25,70","93,79","0,07","28,18","142,42","2,17"
22/10/2015,"27,70","80,79","2,13","0,25","257,88","2,36"
23/10/2015,"27,28","85,04","0,47","7,37","214,92","4,65"
24/10/2015,"26,25","92,33","0,13","12,70","148,33","3,66"
25/10/2015,"26,17","90,21","0,47","38,60","198,83","2,42"
26/10/2015,"26,34","89,29","0,80","5,08","217,88","3,24"
27/10/2015,"25,23","91,71","0,20","43,68","194,54","3,48"
28/10/2015,"25,81","90,00","0,00","55,88","210,79","3,08"
29/10/2015,"26,95","87,58","0,07","0,25","236,13","3,52"
30/10/2015,"26,84","87,13","0,20","0,00","212,29","3,78"
31/10/2015,"27,50","80,96","1,33","0,00","242,71","3,49"
1/11/2015,"26,52","88,25","0,33","7,37","189,67","4,13"
2/11/2015,"26,21","90,88","0,13","3,05","176,92","3,15"
3/11/2015,"26,35","88,29","0,40","6,60","226,04","2,91"
4/11/2015,"26,28","88,54","0,27","1,77","210,88","3,67"
5/11/2015,"25,19","93,25","0,13","22,85","141,96","3,41"
6/11/2015,"26,53","88,25","0,20","0,00","229,83","2,25"
7/11/2015,"27,34","81,29","1,53","0,00","229,25","3,73"
8/11/2015,"27,20","82,63","1,40","0,00","206,75","3,86"
9/11/2015,"27,14","84,42","1,53","0,51","244,75","3,51"
10/11/2015,"26,05","88,42","1,20","1,78","207,38","4,09"
11/11/2015,"26,26","88,79","0,47","2,28","187,46","3,45"
12/11/2015,"26,69","87,13","0,27","0,25","204,88","3,08"
13/11/2015,"27,35","86,13","0,40","0,00","194,75","3,36"
14/11/2015,"27,87","79,42","2,20","0,00","214,46","3,27"
15/11/2015,"27,11","82,58","1,93","0,00","207,88","3,99"
16/11/2015,"26,51","88,92","0,40","17,52","195,25","3,74"
17/11/2015,"25,37","92,50","0,67","3,55","124,96","3,16"
18/11/2015,"26,13","88,75","0,13","7,36","220,33","2,06"
19/11/2015,"26,44","90,25","0,07","12,69","173,88","3,53"
20/11/2015,"25,72","93,50","0,07","29,71","129,17","2,75"
21/11/2015,"26,16","90,29","0,40","12,95","190,33","2,14"
22/11/2015,"25,43","89,58","0,73","0,25","120,71","3,12"
23/11/2015,"26,79","78,00","4,21","0,00","221,29","2,12"
24/11/2015,"27,94","68,63","6,08","0,00","220,50","4,23"
25/11/2015,"26,94","74,38","5,23","0,00","234,42","4,61"
26/11/2015,"28,22","71,33","8,93","0,00","213,46","4,66"
27/11/2015,"28,15","69,21","6,49","0,00","233,71","4,63"
28/11/2015,"27,83","71,88","4,75","0,00","236,54","4,80"
29/11/2015,"27,19","68,33","4,09","0,00","237,33","4,71"
30/11/2015,"25,71","75,83","0,93","0,00","236,42","4,77"
1/12/2015,"26,54","74,38","2,00","0,00","237,29","4,13"
2/12/2015,"25,99","79,38","0,53","0,00","236,75","4,36"
3/12/2015,"27,26","77,42","2,73","0,00","231,21","4,03"
4/12/2015,"28,40","75,08","7,33","0,00","236,13","4,30"
5/12/2015,"27,20","76,46","6,78","0,00","125,29","4,98"
6/12/2015,"28,38","70,83","10,48","0,00","178,75","2,84"
7/12/2015,"28,90","66,04","10,36","0,00","226,58","4,36"
8/12/2015,"27,20","75,67","3,75","0,00","225,88","5,35"
9/12/2015,"27,36","76,88","3,00","0,00","223,08","4,43"
10/12/2015,"26,77","81,33","2,81","0,00","209,79","4,22"
11/12/2015,"27,52","78,04","4,28","0,00","216,79","3,89"
12/12/2015,"28,78","70,08","5,00","0,00","217,13","4,16"
13/12/2015,"27,75","76,42","1,60","0,00","218,54","4,54"
14/12/2015,"27,08","80,25","0,60","0,00","213,17","4,10"
15/12/2015,"27,06","80,08","0,93","0,00","214,13","3,58"
16/12/2015,"26,70","81,54","0,80","0,00","220,67","3,66"
17/12/2015,"26,81","78,88","1,47","0,00","223,75","3,76"
18/12/2015,"27,37","73,00","3,88","0,00","226,33","3,97"
19/12/2015,"28,52","70,08","8,11","0,00","222,25","4,51"
20/12/2015,"28,71","70,13","12,36","0,00","197,08","4,84"
21/12/2015,"28,96","65,08","12,23","0,00","219,00","4,76"
22/12/2015,"28,75","66,75","9,00","0,00","221,96","5,49"
23/12/2015,"27,27","76,67","3,13","0,00","204,92","5,27"
24/12/2015,"28,32","73,58","6,65","0,00","215,50","3,89"
25/12/2015,"28,70","68,04","10,83","0,00","218,67","4,60"
26/12/2015,"28,84","67,00","10,68","0,00","220,96","5,00"
27/12/2015,"28,58","67,33","6,50","0,00","219,38","5,17"
28/12/2015,"27,79","71,04","4,35","0,00","219,25","4,82"
29/12/2015,"27,55","71,38","4,53","0,00","220,21","4,56"
30/12/2015,"29,07","68,67","10,14","0,00","219,92","4,43"
31/12/2015,"29,13","67,79","11,90","0,00","222,79","5,08"
1/1/2016,"29,08","62,00","12,30","0,00","224,71","5,36"
2/1/2016,"28,61","63,00","10,70","0,00","226,17","5,79"
3/1/2016,"28,29","67,38","5,21","0,00","224,67","5,60"
4/1/2016,"27,68","71,83","3,74","0,00","225,54","4,73"
5/1/2016,"28,10","69,88","5,35","0,00","225,96","4,43"
6/1/2016,"27,89","69,29","6,90","0,00","222,17","4,82"
7/1/2016,"27,95","69,25","4,81","0,00","226,13","4,77"
8/1/2016,"27,01","72,21","3,68","0,00","228,58","4,63"
9/1/2016,"26,78","74,13","1,00","0,00","230,88","4,58"
10/1/2016,"27,03","69,42","4,96","0,00","235,33","4,18"
11/1/2016,"27,85","55,08","6,15","0,00","240,13","4,91"
12/1/2016,"25,57","67,42","5,10","0,00","231,00","5,54"
13/1/2016,"26,98","67,04","4,49","0,00","229,17","4,98"
14/1/2016,"26,38","72,71","1,47","0,00","215,21","4,80"
15/1/2016,"26,30","68,42","2,67","0,00","236,04","4,00"
16/1/2016,"25,24","71,79","1,87","0,00","236,29","4,72"
17/1/2016,"27,40","72,29","4,15","0,00","236,63","4,50"
18/1/2016,"28,17","61,75","10,88","0,00","232,25","4,72"
19/1/2016,"27,17","64,00","13,30","0,00","230,83","5,68"
20/1/2016,"27,79","63,46","9,73","0,00","235,21","5,72"
21/1/2016,"27,13","66,67","6,17","0,00","234,21","5,50"
22/1/2016,"27,77","65,46","4,68","0,00","237,46","5,18"
23/1/2016,"27,45","61,54","12,10","0,00","233,38","5,10"
24/1/2016,"26,78","54,88","9,52","0,00","234,63","5,83"
25/1/2016,"27,43","63,00","7,18","0,00","239,33","5,84"
26/1/2016,"27,13","70,21","5,84","0,00","239,71","5,40"
27/1/2016,"27,06","68,71","3,20","0,00","245,75","5,00"
28/1/2016,"26,94","67,25","3,40","0,00","244,50","4,99"
29/1/2016,"28,30","60,75","8,93","0,00","239,71","4,95"
30/1/2016,"27,94","62,92","7,92","0,00","243,67","5,87"
31/1/2016,"28,00","64,54","5,02","0,00","246,29","5,54"
1/2/2016,"28,07","62,58","7,70","0,00","247,63","5,29"
2/2/2016,"26,63","66,00","1,73","0,00","228,71","5,57"
3/2/2016,"26,81","66,46","1,60","0,00","249,50","4,62"
4/2/2016,"26,84","67,25","5,03","0,00","249,46","4,83"
5/2/2016,"27,69","60,54","12,08","0,00","249,54","5,23"
6/2/2016,"28,19","54,83","12,03","0,00","254,46","6,14"
7/2/2016,"27,93","58,08","13,37","0,00","254,04","6,62"
8/2/2016,"27,35","59,67","11,97","0,00","257,00","6,53"
9/2/2016,"27,88","57,79","8,85","0,00","251,58","6,39"
10/2/2016,"26,67","54,71","11,68","0,00","222,38","6,01"
11/2/2016,"26,98","59,08","13,02","0,00","250,25","5,95"
12/2/2016,"27,96","60,67","11,83","0,00","253,00","6,35"
13/2/2016,"27,98","63,54","13,77","0,00","257,50","6,23"
14/2/2016,"27,98","61,75","12,57","0,00","252,83","6,38"
15/2/2016,"29,10","59,17","9,39","0,00","257,13","6,29"
16/2/2016,"28,04","65,92","6,78","0,00","258,46","6,24"
17/2/2016,"29,00","61,58","9,60","0,00","258,58","5,71"
18/2/2016,"29,22","62,42","12,23","0,00","255,08","6,22"
19/2/2016,"28,44","63,21","14,10","0,00","260,25","6,36"
20/2/2016,"28,38","62,13","13,63","0,00","265,42","6,59"
21/2/2016,"28,72","62,29","11,42","0,00","265,92","6,63"
22/2/2016,"29,33","59,83","8,91","0,00","265,00","6,48"
23/2/2016,"28,90","64,33","3,40","0,00","262,79","6,22"
